id,Battle,Date,State,CWSAC,Outcome
1,Battle of Fort Sumter,"April 12–14, 1861",South Carolina,A,"Confederate victory: Beauregard takes Charleston Federal fort, first battle of American Civil War."
2,Battle of Sewell's Point,"May 18–19, 1861",Virginia,D,Inconclusive: Union gunboats fight inconclusive battle with Confederate artillery.
3,Battle of Aquia Creek,"May 29 – June 1, 1861",Virginia,D,"Inconclusive: Confederate artillery hit by naval bombardment, later withdrawn."
4,Battle of Philippi (West Virginia),"June 3, 1861","West Virginia
(Virginia
at the time)[A]",D,Union victory: Union forces rout a small Confederate detachment in Western Virginia.
5,Battle of Big Bethel,"June 10, 1861",Virginia,C,Confederate victory: Union attack on Confederate positions near a church repelled.
6,Battle of Boonville(Missouri),"June 17, 1861",Missouri,C,Union victory: Union forces defeat pro-Confederate governor's Missouri State Guard.
7,Battle of Hoke's Run,"July 2, 1861","West Virginia
(Virginia
at the time)[A]",D,Union victory: Robert Patterson defeats Jackson's Confederates but fails to capitalize on his victory.
8,Battle of Carthage,"July 5, 1861",Missouri,C,Confederate victory: Confederate victory in Missouri during U.S. Civil War.
9,Battle of Rich Mountain,"July 11, 1861","West Virginia
(Virginia
at the time)[A]",B,"Union victory: Confederate forces under Gen. Robert S. Garnett split in half mid-battle by Union forces under Maj. Gen.George B. McClellan one half surrenders, the other escapes."
10,Battle of Blackburn's Ford,"July 18, 1861",Virginia,C,Confederate victory: Irvin McDowell's recon-in-force defeated at Manassas.
11,"First Battle of Bull Run
or First Manassas","July 21, 1861",Virginia,A,"Confederate victory: McDowell loses to J.E. Johnston, Beauregard; Jackson named ""Stonewall""."
12,Battle of Wilson's Creek,"August 10, 1861",Missouri,A,Confederate victory: Union forces under Nathaniel Lyon and Samuel D. Sturgis lose to Confederates under Sterling Price and Benjamin McCulloch. Lyon is killed. First major battle west of the Mississippi.
13,Battle of Kessler's Cross Lanes,"August 26, 1861","West Virginia
(Virginia
at the time)[A]",D,Confederate victory: Confederates under John B. Floyd surprise and defeat Union forces under Erastus B. Tyler.
14,Battle of Hatteras Inlet Batteries,"August 28–29, 1861",North Carolina,C,Union victory: Union forces capture two North Carolina forts.
15,Battle of Dry Wood Creek,"September 2, 1861",Missouri,D,Confederate victory: Union cavalry from Kansas defeated by Missouri State Guard.
16,Battle of Carnifex Ferry,"September 10, 1861","West Virginia
(Virginia
at the time)[A]",B,Union victory: Confederates withdraw by night after several hours of fighting.
17,Battle of Cheat Mountain,"September 12–15, 1861","West Virginia
(Virginia
at the time)[A]",B,Union victory: 300 Union troops withstand uncoordinated Confederate attacks.
18,First Battle of Lexington,"September 13–20, 1861",Missouri,C,Confederate victory: Union forces badly defeated by Missouri State Guard.
19,Battle of Liberty,"September 17, 1861",Missouri,D,Confederate victory: Minor Missouri State Guard victory.
20,Battle of Barbourville,"September 19, 1861",Kentucky,D,Confederate victory:Zollicoffer raided a Federal recruitment camp and brought a counter-thrust.
21,Battle of Greenbrier River,"October 3, 1861","West Virginia
(Virginia
at the time)[A]",D,Inconclusive: Confederates withdraw after inconclusive battle.
22,Battle of Santa Rosa Island,"October 9, 1861",Florida,C,Union victory: Union forces repel Confederate attempt to capture island.
23,Battle of Camp Wildcat,"October 21, 1861",Kentucky,C,Union victory: Confederates chased from Cumberland Gap
24,Battle of Fredericktown,"October 21, 1861",Missouri,D,Union victory: Missouri State Guard defeated.
25,Battle of Ball's Bluff,"October 21, 1861",Virginia,B,Confederate victory: 550 Union soldiers captured.
26,First Battle of Springfield,"October 25, 1861",Missouri,D,Union victory: Union forces capture town.
27,Battle of Belmont,"November 7, 1861",Missouri,C,"Inconclusive: Grant captures and destroys Confederate supplies near Cairo, Illinois."
28,Battle of Ivy Mountain,"November 8, 1861",Kentucky,D,Union victory:
29,Battle of Round Mountain,"November 19, 1861","Oklahoma
(Indian Territory
at the time)",D,Confederate victory: Opothleyahola's Unionist Creeks and Seminoles defeated near present-day Stillwater.
30,Battle of Chusto-Talasah,"December 9, 1861","Oklahoma
(Indian Territory
at the time)",D,Confederate victory: Opothleyahola defeated near present-day Tulsa.
31,Battle of Camp Allegheny,"December 13, 1861","West Virginia
(Virginia
at the time)[A]",C,Inconclusive: Confederates withstand Union attack.
32,Battle of Rowlett's Station,"December 17, 1861",Kentucky,D,Inconclusive:
33,Battle of Dranesville,"December 20, 1861",Virginia,C,Union victory: Union defeats Confederate forces under J.E.B. Stuart.
34,Battle of Chustenahlah,"December 26, 1861","Oklahoma
(Indian Territory
at the time)",B,"Confederate victory: Opothleyahola defeated, flees to Kansas."
35,Battle of Mount Zion Church,"December 28, 1861",Missouri,D,Union victory: Union victory in Northeastern Missouri.
36,Battle of Cockpit Point,"January 3, 1862",Virginia,C,Inconclusive: Inconclusive Civil War battle in Virginia.
37,Battle of Hancock,"January 5–6, 1862",Maryland,D,Inconclusive: Unsuccessful Confederate attack on Maryland town.
38,Battle of Roan's Tan Yard,"January 8, 1862",Missouri,D,Union victory: Confederates routed.
39,Battle of Middle Creek,"January 10, 1862",Kentucky,C,Union victory: Union forces under James A. Garfield defeat Confederates under Humphrey Marshall.
40,Battle of Mill Springs,"January 19, 1862",Kentucky,B,Union victory: Felix Zollicoffer killed.
41,Battle of Fort Henry,"February 6, 1862",Tennessee,B,Union victory: Ulysses S. Grant and Foote's gunboats gain control of Tennessee River by defeating Lloyd Tilghman
42,Battle of Roanoke Island,"February 7–8, 1862",North Carolina,B,Union victory: Union forces under Ambrose E. Burnside capture island from Henry A. Wise
43,Battle of Fort Donelson,"February 11–16, 1862",Tennessee,A,"Union victory: Confederate army under Simon Bolivar Buckner surrenders to Grant, Union gains control of Cumberland River"
44,Battle of Valverde,"February 20–21, 1862","New Mexico
(New Mexico Territory
at the time)",B,Confederate victory: Union forces routed in New Mexico Territory.
